system_kanji_profile_link,company_name,capital,establishment_year,number_of_members,company_website,location,representative,system_kanji_project_count
https://system-kanji.com/services/14278,ジェイ・アール・シーエンジニアリング株式会社,"9,000万円",1983年4月1日,288人,http://www.jrce.co.jp/,〒 181-0013 東京都三鷹市下連雀8丁目7-2 MCC三鷹ビル ノース棟4階,横井 則明,0
https://system-kanji.com/services/14283,株式会社ＪＴＢ情報システム,1億円,1984年2月27日,439人,http://www.jss.co.jp/,〒 140-0002 東京都品川区東品川2－3－14 東京フロントテラス,川並 和幸,0
https://system-kanji.com/services/14285,株式会社コードクオリティ,"1,200万円",2002年1月21日,12人,https://www.codequality.co.jp/,〒 162-0825 東京都新宿区神楽坂6丁目42 神楽坂喜多川ビル8階,,0
https://system-kanji.com/services/14290,株式会社メグ,"1,000万円",1998年6月,,http://www.k-meg.com/,〒 162-0814 東京都新宿区新小川町3-19 日本郵便輸送新小川町ビル2F,林 克宜,0
https://system-kanji.com/services/14294,加美コンピューターサービス株式会社,"1,000万円",1980年3月21日,5人,http://www.kamicomputer.com/,〒 547-0005 大阪府大阪市平野区加美西2丁目6番1号,辻野 雅彦,0
https://system-kanji.com/services/14296,株式会社かなめ技術開発,"6,000,000円",2014年4月1日,,http://www.kaname-tec.co.jp/,〒 111-0054 東京都台東区鳥越二丁目７番４号エス・アイビル３階,浅原 裕,0
https://system-kanji.com/services/14303,京葉コンピューターサービス株式会社,"8,800万円",1968年8月8日,,http://www.kcs-grp.co.jp,〒 260-0854 千葉県千葉市中央区長洲1-1-10 KCSビル5F,並木 英徳,0
https://system-kanji.com/services/14311,カーネルソフト株式会社,"20,000,000円",1998年4月27日,,http://www.kernel-soft.co.jp/,〒 103-0007 東京都中央区日本橋浜町1-3-12 第7センタープラザ 8F,盛 永明,0
https://system-kanji.com/services/14315,株式会社キーストーン,"1,400万円",1990年4月26日,,http://www.key.co.jp/,〒 171-0022 東京都豊島区南池袋1-1-11 カドラービル8F,大谷 利勝,0
https://system-kanji.com/services/14317,株式会社ＫＩＮＧＢＥＡＴ,,2006年9月19日,,http://www.king-beat.com,〒 106-0032 東京都港区六本木3-3-28 マノア六本木201,熊田 義和,0
https://system-kanji.com/services/14334,株式会社ケイネットシステムズ,"3,200万円",1998年6月,,http://www.knet-sys.com/,〒 162-0066 東京都新宿区市谷台町4-15小峰ビル３階,桑城 晶浩,0
https://system-kanji.com/services/14336,株式会社光風舎,"1,500万円",1987年4月18日,503人,http://www.kofuu.co.jp/,〒 010-0911 秋田県秋田市保戸野すわ町6番16号,横田 敦,0
https://system-kanji.com/services/14337,国際システム株式会社,"支払資本金 2,500万円 授権資本金 3,800万円",1976年年2月6日,30人,http://www.kokusai-system.co.jp/,〒 150-0001 東京都渋谷区神宮前６－１９－１６ 越一ビル３階,吉田 靖親,0
https://system-kanji.com/services/14341,株式会社 キー・ステーション21,"2,150万円",1997年10月22日,,http://www.ks21.com/,〒 103-0012 東京都中央区日本橋堀留町1-8-10 三ツ美ビル7階,篠原 誠,0
https://system-kanji.com/services/14349,株式会社共栄システムズ,1億円,1977年4月,297人,http://kyoei-sys.kyd.co.jp/,〒 101-0041 東京都千代田区神田須田町一丁目２番地 淡路町サニービル５階,小林 勇雄,0
https://system-kanji.com/services/14355,ライフコンサルタント株式会社,"2,000万円",1982年2月,,http://www.lcc-inc.co.jp/,〒 150-0043 東京都渋谷区道玄坂1-15-3 プリメーラ道玄坂420,阿部 勲,0
https://system-kanji.com/services/14363,株式会社リンクコーポレーション,"1,500万円",1988年5月13日,,http://www.linkcorporation.co.jp/,〒 150-0022 東京都渋谷区恵比寿南3丁目1番21号 マツザキビル4Ｆ,森 泉,0
https://system-kanji.com/services/14364,株式会社ローレルインテリジェントシステムズ,1億円,1989年12月4日,,http://www.lis-fss.co.jp/,〒 105-0001 東京都港区虎ノ門1-1-10 第2ローレルビル1F,藤井 幹雄,0
https://system-kanji.com/services/14367,株式会社ロイドベンチャーシステム,"32,000,000円",1985年3月,,http://www.lloydventure.com/,〒 275-0016 千葉県習志野市津田沼3-16-30 ドミール津田沼311,長谷川 一郎,0
https://system-kanji.com/services/14368,株式会社エルミオ,"1,000万円",2001年5月,,http://www.lmio.co.jp/,〒 110-0005 東京都台東区上野1-18-11 西楽堂ビル6階,大蔵 徹,0
https://system-kanji.com/services/14369,ロジカルテック株式会社,"1,000万円",1991年1月,,http://www.logicaltech.co.jp/,〒 141-0031 東京都品川区西五反田1-31-1 日本生命五反田ビル3F,田村 留嘉,0
https://system-kanji.com/services/14384,株式会社マクロスジャパン,"5,750万円",1992年7月1日,,http://www.macros.co.jp/,〒 103-0006 東京都中央区日本橋富沢町10-16 MYARK日本橋ビル8F,河本 英樹,0
https://system-kanji.com/services/14387,株式会社マネジメント・ジャパン,"3,500万円",2007年1月,,http://www.management-japan.co.jp/,〒 101-0032 東京都千代田区岩本町3-9-3 フォレスト秋葉原ビル5階,吉田 昌弘,0
https://system-kanji.com/services/14388,株式会社マップクエスト,,1992年2月,,https://www.mapquest.co.jp/,〒 441-3147 愛知県豊橋市大岩町下渡 27-1,佐藤 紀世久,0
https://system-kanji.com/services/14390,マット株式会社,"1,000万円",1989年9月21日,,http://www.mat.jp/,〒 102-0071 東京都千代田区富士見1丁目11番12号 アーバンコート1F,村田 英紀,0
https://system-kanji.com/services/14398,株式会社メディアバーン,"1,000万円",1993年7月16日,,http://www.media-bahn.com/,〒 105-0013 東京都港区浜松町2－2－6大塚ビル5Ｆ,丸山 眞佐雄,0
https://system-kanji.com/services/14401,メディアジョイント株式会社,"6,000万円",1998年3月3日,75人,http://www.mediajoint.co.jp/,〒 105-0004 東京都港区新橋3-1-11長友ランディックビル6F,村刺 靖広,0
https://system-kanji.com/services/14406,メントルシステム販売株式会社,,2004年7月,10人,http://www.mentor-ss.co.jp/,〒 105-0023 東京都港区芝浦1-13-10 第三東運ビル2階,川崎 正貴,0
https://system-kanji.com/services/13916,株式会社シーデックス,"40,000,000円",1987年10月30日,70名（平成31年1月現在）,http://www.cdex.co.jp/,〒 206-0804 東京都稲城市百村1623-1 パストラルハイム稲城ビル2階,小原 操,0
